ep-3469 C#CC(=C)C(F)F
ep-3470 CC=C(C)C(F)F
ep-3472 CC(=CF)C(F)F
ep-3473 C=C(F)C(=C)CF
ep-3474 C=CC(=C)C(=C)F
ep-3475 C=C(F)C(=C)C=O
ep-3476 C#CC(=C)C(=C)F
ep-3477 C=C(F)C(C)=CC
ep-3479 C=C(F)C(C)=CF
ep-3480 C=C(C)C(F)=CC
ep-3482 C=C(C)C(F)=CF
ep-3483 C=C(CF)C(=O)F
ep-3484 C=CC(=C)C(=O)F
ep-3485 C=C(C=O)C(=O)F
ep-3486 C#CC(=C)C(=O)F
ep-3487 CC=C(C)C(=O)F
ep-3489 CC(=CF)C(=O)F
ep-3490 CC=C(CF)CF
ep-3492 FC=C(CF)CF
ep-3493 C=CC(=CC)CF
ep-3495 C=CC(=CF)CF
ep-3496 C=C(C=CC)CF
ep-3498 C=C(C=CF)CF
ep-3499 CC=C(C=O)CF
ep-3501 O=CC(=CF)CF
ep-3502 C#CC(=CC)CF
ep-3504 C#CC(=CF)CF
ep-3505 C=C(C#CC)CF
ep-3507 C=C(C#CF)CF
ep-3508 CC(C)=C(C)CF
ep-3510 CC(F)=C(C)CF
ep-3511 CCC=C(C)CF
ep-3513 CC(=CCF)CF
ep-3514 C=CC=C(C)CF
ep-3515 CC(=CC=O)CF
ep-3516 C#CC=C(C)CF
ep-3519 COC=C(C)CF
ep-3520 CC(CF)=C(F)F
ep-3521 C=CC(C=C)=CC
ep-3523 C=CC(C=C)=CF
ep-3524 C=CC(=C)C=CC
ep-3526 C=CC(=C)C=CF
ep-3527 C=CC(C=O)=CC
ep-3529 C=CC(C=O)=CF
ep-3530 C=C(C=O)C=CC
ep-3532 C=C(C=O)C=CF
ep-3533 C#CC(C=C)=CC
ep-3535 C#CC(C=C)=CF
ep-3536 C#CC(=C)C=CC
ep-3538 C#CC(=C)C=CF
ep-3539 C=CC(=C)C#CC
ep-3541 C=CC(=C)C#CF
ep-3542 C=CC(C)=C(C)C
ep-3544 C=CC(C)=C(C)F
ep-3545 CC=CC(C)=CC
ep-3547 CC=C(C)C=CF
ep-3548 C=CC(C)=CCC
ep-3550 C=CC(C)=CCF
ep-3551 C=CC=C(C)C=C
ep-3552 C=CC(C)=CC=O
ep-3553 C#CC=C(C)C=C
ep-3559 C=CC(C)=COC
ep-3560 C=CC(C)=C(F)F
ep-3561 CC=CC(C)=CF
ep-3563 CC(C=CF)=CF
ep-3564 C=C(C)C=C(C)C
ep-3566 C=C(C)C=C(C)F
ep-3567 C=C(C)C=CCC
ep-3569 C=C(C)C=CCF
ep-3570 C=CC=CC(=C)C
ep-3571 C=C(C)C=CC=O
ep-3572 C#CC=CC(=C)C
ep-3575 C=C(C)C=COC
ep-3576 C=C(C)C=C(F)F
ep-3577 CC=C(C=O)C=O
ep-3579 O=CC(C=O)=CF
ep-3580 C#CC(C=O)=CC
ep-3582 C#CC(C=O)=CF
ep-3583 C=C(C#CC)C=O
ep-3585 C=C(C#CF)C=O
ep-3586 CC(C)=C(C)C=O
ep-3588 CC(F)=C(C)C=O
