ep-16304 C=COCCC(=C)C
ep-16306 C=COCCCCC
ep-16309 C=CCCCOC=C
ep-16311 C#CCCCOC=C
ep-16316 C=COCCCOC
ep-16320 C=COCCC=CC
ep-16323 C=COCCC#CC
ep-16347 CC=COCCOC
ep-16360 C=COCCOC=C
ep-16362 C#COCCOC=C
ep-16389 C=CCOC=C(C)C
ep-16392 CC=CCOC=CC
ep-16395 C=CCOC=CCC
ep-16398 C=CC=COCC=C
ep-16400 C#CC=COCC=C
ep-16406 C=CCOC=COC
ep-16411 C=COCC=C(C)C
ep-16414 C=COCC=CCC
ep-16417 C=CC=CCOC=C
ep-16419 C#CC=CCOC=C
ep-16422 C=COCC=COC
ep-16437 C#CCOC=C(C)C
ep-16440 CC#CCOC=CC
ep-16443 C#CCOC=CCC
ep-16446 C#CCOC=CC=C
ep-16448 C#CC=COCC#C
ep-16454 C#CCOC=COC
ep-16459 C=COCC#CCC
ep-16462 C=CC#CCOC=C
ep-16464 C#CC#CCOC=C
ep-16465 C=COCC#COC
ep-16466 CCOC=C(C)CC
ep-16469 C=CC(C)=COCC
ep-16471 C#CC(C)=COCC
ep-16484 CCOC=CC(C)C
ep-16487 C=C(C)C=COCC
ep-16489 CCCC=COCC
ep-16492 C=CCC=COCC
ep-16494 C#CCC=COCC
ep-16499 CCOC=CCOC
ep-16503 CC=CC=COCC
ep-16506 CC#CC=COCC
ep-16511 CCOC=COCC
ep-16514 C=COC=COCC
ep-16516 C#COC=COCC
ep-16612 C#COCC(C)(C)C
ep-16615 CC#COCC(C)C
ep-16618 C#COCC(C)CC
ep-16621 C#COCC(C)C=C
ep-16623 C#COCC(C)C#C
ep-16645 C=C(C)COC#CC
ep-16648 C#COCC(=C)CC
ep-16651 C#COCC(=C)C=C
ep-16653 C#COCC(=C)C#C
ep-16654 C#COCC(C)=CC
ep-16666 CC#COCCCC
ep-16669 C=CCCOC#CC
ep-16671 C#CCCOC#CC
ep-16672 CCC#COCCC
ep-16675 C=CC#COCCC
ep-16677 C#CC#COCCC
ep-16684 CCCOC#COC
ep-16691 C#COCCC(C)C
ep-16694 C#COCCC(=C)C
ep-16696 C#COCCCCC
ep-16699 C#COCCCC=C
ep-16701 C#CCCCOC#C
ep-16706 C#COCCCOC
ep-16710 C#COCCC=CC
ep-16713 C#COCCC#CC
ep-16734 CC#COCCOC
ep-16744 C#COCCOC#C
ep-16765 CC#COCC=CC
ep-16768 C=CCOC#CCC
ep-16771 C=CC#COCC=C
ep-16773 C#CC#COCC=C
ep-16777 C=CCOC#COC
ep-16781 C#COCC=C(C)C
ep-16784 C#COCC=CCC
ep-16787 C#COCC=CC=C
ep-16789 C#CC=CCOC#C
ep-16792 C#COCC=COC
ep-16801 CC#CCOC#CC
ep-16804 C#CCOC#CCC
ep-16807 C#CCOC#CC=C
ep-16809 C#CC#COCC#C
ep-16813 C#CCOC#COC
ep-16817 C#COCC#CCC
ep-16820 C#COCC#CC=C
ep-16822 C#CC#CCOC#C
ep-16823 C#COCC#COC
ep-16824 CCOC#CC(C)C
ep-16827 C=C(C)C#COCC
ep-16829 CCCC#COCC
ep-16832 C=CCC#COCC
ep-16834 C#CCC#COCC
ep-16839 CCOC#CCOC
ep-16843 CC=CC#COCC
ep-16846 CC#CC#COCC
ep-16849 CCOC#COCC
ep-16852 C=COC#COCC
ep-16854 C#COC#COCC
ep-16855 CCC(C)(C)COC
ep-16858 C=CC(C)(C)COC
ep-16860 C#CC(C)(C)COC
ep-16873 COCC(C)C(C)C
ep-16876 C=C(C)C(C)COC
ep-16878 CCC(CC)COC
ep-16881 C=CC(CC)COC
ep-16883 C#CC(CC)COC
ep-16884 CCCC(C)COC
ep-16887 C=CCC(C)COC
ep-16889 C#CCC(C)COC
ep-16899 COCC(C)COC
ep-16907 C=CC(C=C)COC
ep-16909 C#CC(C=C)COC
ep-16910 CC=CC(C)COC
ep-16915 C#CC(C#C)COC
ep-16916 CC#CC(C)COC
ep-16987 C=C(COC)C(C)C
ep-16990 C=C(C)C(=C)COC
ep-16992 CC=C(CC)COC
ep-16995 C=C(CCC)COC
ep-16998 C=CCC(=C)COC
ep-17000 C#CCC(=C)COC
ep-17008 C=C(COC)COC
ep-17015 C=CC(=CC)COC
ep-17018 C=C(C=CC)COC
ep-17024 C#CC(=CC)COC
ep-17027 C=C(C#CC)COC
ep-17030 COCC(C)=C(C)C
ep-17033 CCC=C(C)COC
ep-17036 C=CC=C(C)COC
ep-17038 C#CC=C(C)COC
ep-17041 COC=C(C)COC
ep-17068 COCCC(C)(C)C
ep-17071 CCC(C)CCOC
ep-17074 C=CC(C)CCOC
ep-17076 C#CC(C)CCOC
ep-17092 C=C(CC)CCOC
ep-17095 C=CC(=C)CCOC
ep-17097 C#CC(=C)CCOC
ep-17098 CC=C(C)CCOC
ep-17107 COCCCC(C)C
ep-17110 C=C(C)CCCOC
ep-17112 CCCCCCOC
ep-17115 C=CCCCCOC
ep-17117 C#CCCCCOC
ep-17122 COCCCCOC
ep-17126 CC=CCCCOC
ep-17129 CC#CCCCOC
ep-17142 COCCC=C(C)C
ep-17145 CCC=CCCOC
ep-17148 C=CC=CCCOC
ep-17150 C#CC=CCCOC
ep-17153 COC=CCCOC
ep-17155 CCC#CCCOC
ep-17158 C=CC#CCCOC
