ep-13393 C#CCC(OC)OC
ep-13433 COCC(OC)OC
ep-13441 COC(OC)C(F)F
ep-13442 C=C(F)C(OC)OC
ep-13446 COC(OC)C(=O)F
ep-13447 CC=CC(OC)OC
ep-13449 COC(C=CF)OC
ep-13463 CC#CC(OC)OC
ep-13465 COC(C#CF)OC
ep-13473 CC(F)OC(C)(F)F
ep-13474 C=C(C)OC(C)(F)F
ep-13475 CC(=O)OC(C)(F)F
ep-13476 CCOC(F)(F)CC
ep-13478 CCOC(F)(F)CF
ep-13479 C=CC(F)(F)OCC
ep-13480 CCOC(F)(F)C=O
ep-13481 C#CC(F)(F)OCC
ep-13482 CCCOC(C)(F)F
ep-13484 CC(F)(F)OCCF
ep-13485 C=CCOC(C)(F)F
ep-13486 CC(F)(F)OCC=O
ep-13487 C#CCOC(C)(F)F
ep-13498 COCOC(C)(F)F
ep-13499 CC(F)(F)OC(F)F
ep-13500 C=C(F)OC(C)(F)F
ep-13501 CC(F)(F)OC(=O)F
ep-13502 CCC(F)(F)OCF
ep-13504 FCOC(F)(F)CF
ep-13505 C=CC(F)(F)OCF
ep-13506 O=CC(F)(F)OCF
ep-13507 C#CC(F)(F)OCF
ep-13508 C=COC(F)(F)CC
ep-13510 C=COC(F)(F)CF
ep-13511 C=COC(F)(F)C=C
ep-13512 C=COC(F)(F)C=O
ep-13513 C#CC(F)(F)OC=C
ep-13514 CC=COC(C)(F)F
ep-13516 CC(F)(F)OC=CF
ep-13517 CCC(F)(F)OC=O
ep-13519 O=COC(F)(F)CF
ep-13520 C=CC(F)(F)OC=O
ep-13521 O=COC(F)(F)C=O
ep-13522 C#CC(F)(F)OC=O
ep-13523 C#COC(F)(F)CC
