ep-717324 CC(OC(F)(F)F)C(C)(F)F
ep-717325 COC(CF)C(F)C(F)(F)F
ep-717326 CC(OCF)C(F)C(F)(F)F
ep-717327 COC(C(F)F)C(F)C(F)F
ep-717328 FCOC(CF)C(F)C(F)F
ep-717329 CC(OC(F)F)C(F)C(F)F
ep-717330 COC(C(F)CF)C(F)(F)F
ep-717331 FCOC(C(F)F)C(F)CF
ep-717332 FCC(F)C(CF)OC(F)F
ep-717333 CC(OC(F)(F)F)C(F)CF
ep-717334 CC(F)C(OCF)C(F)(F)F
ep-717335 CC(F)C(OC(F)F)C(F)F
ep-717336 CC(F)C(CF)OC(F)(F)F
ep-717337 COC(CC(F)(F)F)C(F)F
ep-717338 FCOC(CF)CC(F)(F)F
ep-717339 CC(CC(F)(F)F)OC(F)F
ep-717340 COC(CC(F)F)C(F)(F)F
ep-717341 FCOC(CC(F)F)C(F)F
ep-717342 FCC(CC(F)F)OC(F)F
ep-717343 CC(CC(F)F)OC(F)(F)F
ep-717344 FCCC(OCF)C(F)(F)F
ep-717345 FCCC(OC(F)F)C(F)F
ep-717346 FCCC(CF)OC(F)(F)F
ep-717347 CCC(OC(F)F)C(F)(F)F
ep-717348 CCC(OC(F)(F)F)C(F)F
ep-717615 COC(=C(F)CF)C(F)(F)F
ep-717616 CC(F)=C(OCF)C(F)(F)F
ep-717617 COC(=C(F)C(F)F)C(F)F
ep-717618 FCOC(=C(F)CF)C(F)F
ep-717619 CC(F)=C(OC(F)F)C(F)F
ep-717620 COC(CF)=C(F)C(F)(F)F
ep-717621 FCOC(CF)=C(F)C(F)F
ep-717622 FCC(F)=C(CF)OC(F)F
ep-717623 CC(F)=C(CF)OC(F)(F)F
ep-717624 CC(OCF)=C(F)C(F)(F)F
ep-717625 CC(OC(F)F)=C(F)C(F)F
ep-717626 CC(OC(F)(F)F)=C(F)CF
ep-717627 COC(=CC(F)F)C(F)(F)F
