ep-668287 FC#CC(F)(CF)OCF
ep-668288 C#CC(F)(OCF)C(F)F
ep-668289 COC(F)(C#CF)C(F)F
ep-668290 C#CC(F)(OC)C(F)(F)F
ep-668291 CC(C#CF)OC(F)(F)F
ep-668292 C#CC(CF)OC(F)(F)F
ep-668293 FC#CC(CF)OC(F)F
ep-668294 C#CC(OC(F)F)C(F)F
ep-668295 FC#CC(OCF)C(F)F
ep-668296 C#CC(OCF)C(F)(F)F
ep-668297 COC(C#CF)C(F)(F)F
ep-668301 C=C(C#CF)OC(F)(F)F
ep-668302 C#CC(=CF)OC(F)(F)F
ep-668303 FC#CC(=CF)OC(F)F
ep-668304 C#CC(OC(F)F)=C(F)F
ep-668305 FC#CC(OCF)=C(F)F
ep-668306 C#CC(F)(F)OC(C)(F)F
ep-668307 CC(F)OC(F)(F)C#CF
ep-668308 C#CC(F)(F)OC(F)CF
ep-668309 FC#CC(F)(F)OCCF
ep-668310 C#CC(F)(F)OCC(F)F
ep-668311 CC(F)(F)OC(F)C#CF
ep-668312 C#CC(F)OC(F)(F)CF
ep-668313 FC#CC(F)OC(F)CF
ep-668314 C#CC(F)OC(F)C(F)F
ep-668315 FC#CC(F)OCC(F)F
ep-668316 C#CC(F)OCC(F)(F)F
ep-668317 FC#CCOC(F)(F)CF
ep-668318 C#CCOC(F)(F)C(F)F
ep-668319 FC#CCOC(F)C(F)F
ep-668320 C#CCOC(F)C(F)(F)F
ep-668321 FC#CCOCC(F)(F)F
ep-668325 C=C(F)OC(F)(F)C#CF
ep-668326 C#CC(F)(F)OC(F)=CF
ep-668327 FC#CC(F)(F)OC=CF
ep-668328 C#CC(F)(F)OC=C(F)F
ep-668329 FC#CC(F)OC(F)=CF
ep-668330 C#CC(F)OC(F)=C(F)F
ep-668331 FC#CC(F)OC=C(F)F
ep-668332 FC#CCOC(F)=C(F)F
ep-668333 FC#COC(F)(F)C#CF
ep-668334 CC#CC(F)(F)OC(F)F
ep-668335 FCC#CC(F)(F)OCF
ep-668336 COC(F)(F)C#CC(F)F
ep-668337 CC#CC(F)OC(F)(F)F
ep-668338 FCC#CC(F)OC(F)F
ep-668339 FCOC(F)C#CC(F)F
ep-668340 COC(F)C#CC(F)(F)F
ep-668341 FCC#CCOC(F)(F)F
ep-668342 FC(F)C#CCOC(F)F
ep-668343 FCOCC#CC(F)(F)F
ep-668346 COC(C)(F)C(F)(F)CF
ep-668347 COC(F)(CF)C(C)(F)F
ep-668348 CC(F)(F)C(C)(F)OCF
ep-668349 COC(C)(F)C(F)C(F)F
ep-668350 COC(F)(CF)C(F)CF
ep-668351 CC(F)(OCF)C(F)CF
ep-668352 COC(F)(C(C)F)C(F)F
ep-668353 CC(F)C(F)(CF)OCF
ep-668354 CC(F)C(C)(F)OC(F)F
ep-668355 COC(C)(F)CC(F)(F)F
ep-668356 COC(F)(CF)CC(F)F
ep-668357 CC(F)(CC(F)F)OCF
ep-668358 COC(F)(CCF)C(F)F
ep-668359 FCCC(F)(CF)OCF
ep-668360 CC(F)(CCF)OC(F)F
ep-668361 CCC(F)(OC)C(F)(F)F
ep-668362 CCC(F)(OCF)C(F)F
ep-668363 CCC(F)(CF)OC(F)F
ep-668364 CCC(C)(F)OC(F)(F)F
ep-668365 COC(C)C(F)(F)C(F)F
ep-668366 COC(CF)C(F)(F)CF
ep-668367 CC(OCF)C(F)(F)CF
ep-668368 COC(C(F)F)C(C)(F)F
ep-668369 CC(F)(F)C(CF)OCF
ep-668370 CC(OC(F)F)C(C)(F)F
ep-668371 COC(C)C(F)C(F)(F)F
ep-668372 COC(CF)C(F)C(F)F
ep-668373 CC(OCF)C(F)C(F)F
ep-668374 COC(C(F)F)C(F)CF
ep-668375 FCOC(CF)C(F)CF
ep-668376 CC(OC(F)F)C(F)CF
ep-668377 COC(C(C)F)C(F)(F)F
ep-668378 CC(F)C(OCF)C(F)F
ep-668379 CC(F)C(CF)OC(F)F
ep-668380 CC(F)C(C)OC(F)(F)F
ep-668381 COC(CF)CC(F)(F)F
ep-668382 CC(CC(F)(F)F)OCF
ep-668383 COC(CC(F)F)C(F)F
ep-668384 FCOC(CF)CC(F)F
