ep-923297 CC(F)(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-923298 FCC(F)(F)C(OC(F)(F)C(F)F)C(F)F
ep-923299 FCC(F)(F)OC(C(F)F)C(F)(F)C(F)F
ep-923300 CC(F)(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-923301 FCC(OC(F)(F)C(F)(F)F)C(F)(F)CF
ep-923302 FCC(OC(F)(F)C(F)F)C(F)(F)C(F)F
ep-923303 FCC(OC(F)(F)CF)C(F)(F)C(F)(F)F
ep-923304 CC(OC(F)(F)C(F)(F)F)C(F)(F)C(F)F
ep-923305 CC(OC(F)(F)C(F)F)C(F)(F)C(F)(F)F
ep-923306 CC(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923307 FCC(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-923308 FCC(F)(F)OC(C(F)C(F)F)C(F)(F)F
ep-923309 CC(F)(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-923310 FCC(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-923311 FC(F)C(F)C(OC(F)(F)C(F)F)C(F)F
ep-923312 FCC(F)(F)OC(C(F)F)C(F)C(F)(F)F
ep-923313 FCC(OC(F)(F)C(F)(F)F)C(F)C(F)F
ep-923314 FCC(OC(F)(F)C(F)F)C(F)C(F)(F)F
ep-923315 CC(OC(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-923316 FCCC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-923317 FC(F)CC(OC(F)(F)C(F)F)C(F)(F)F
ep-923318 FCC(F)(F)OC(CC(F)(F)F)C(F)(F)F
ep-923319 FC(F)CC(OC(F)(F)C(F)(F)F)C(F)F
ep-923320 FC(F)C(CC(F)(F)F)OC(F)(F)C(F)F
ep-923321 FCC(CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-923322 CC(F)(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-923323 FCC(F)(F)C(OC(F)C(F)F)C(F)(F)F
ep-923324 FCC(F)OC(C(F)(F)F)C(F)(F)C(F)F
ep-923325 CC(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-923326 FCC(F)(F)C(OC(F)C(F)(F)F)C(F)F
ep-923327 FC(F)C(F)OC(C(F)F)C(F)(F)C(F)F
ep-923328 FCC(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-923329 FCC(OC(F)C(F)(F)F)C(F)(F)C(F)F
