ep-774720 FCOC(C(F)F)C(F)C(F)F
ep-774721 FCC(OC(F)F)C(F)C(F)F
ep-774722 CC(OC(F)(F)F)C(F)C(F)F
ep-774723 FCOC(C(F)CF)C(F)(F)F
ep-774724 FCC(F)C(OC(F)F)C(F)F
ep-774725 FCC(F)C(CF)OC(F)(F)F
ep-774726 CC(F)C(OC(F)F)C(F)(F)F
ep-774727 CC(F)C(OC(F)(F)F)C(F)F
ep-774728 COC(CC(F)(F)F)C(F)(F)F
ep-774729 FCOC(CC(F)(F)F)C(F)F
ep-774730 FCC(CC(F)(F)F)OC(F)F
ep-774731 CC(CC(F)(F)F)OC(F)(F)F
ep-774732 FCOC(CC(F)F)C(F)(F)F
ep-774733 FC(F)CC(OC(F)F)C(F)F
ep-774734 FCC(CC(F)F)OC(F)(F)F
ep-774735 FCCC(OC(F)F)C(F)(F)F
ep-774736 FCCC(OC(F)(F)F)C(F)F
ep-774737 CCC(OC(F)(F)F)C(F)(F)F
ep-774964 COC(=C(F)C(F)F)C(F)(F)F
ep-774965 FCOC(=C(F)CF)C(F)(F)F
ep-774966 CC(F)=C(OC(F)F)C(F)(F)F
ep-774967 COC(=C(F)C(F)(F)F)C(F)F
ep-774968 FCOC(=C(F)C(F)F)C(F)F
ep-774969 FCC(F)=C(OC(F)F)C(F)F
ep-774970 CC(F)=C(OC(F)(F)F)C(F)F
ep-774971 FCOC(CF)=C(F)C(F)(F)F
ep-774972 FCC(OC(F)F)=C(F)C(F)F
ep-774973 FCC(F)=C(CF)OC(F)(F)F
ep-774974 CC(OC(F)F)=C(F)C(F)(F)F
ep-774975 CC(OC(F)(F)F)=C(F)C(F)F
ep-774976 COC(=CC(F)(F)F)C(F)(F)F
ep-774977 FCOC(=CC(F)F)C(F)(F)F
ep-774978 FCC=C(OC(F)F)C(F)(F)F
ep-774979 CC=C(OC(F)(F)F)C(F)(F)F
ep-774980 FCOC(=CC(F)(F)F)C(F)F
ep-774981 FC(F)C=C(OC(F)F)C(F)F
ep-774982 FCC=C(OC(F)(F)F)C(F)F
ep-774983 FCC(=CC(F)(F)F)OC(F)F
ep-774984 FCC(=CC(F)F)OC(F)(F)F
ep-774985 CC(=CC(F)(F)F)OC(F)(F)F
ep-775040 CC(C)(OC(F)(F)F)C(F)(F)F
ep-775041 CC(CF)(OC(F)(F)F)C(F)F
ep-775042 FCC(CF)(CF)OC(F)(F)F
ep-775043 CC(CF)(OC(F)F)C(F)(F)F
ep-775044 CC(OC(F)F)(C(F)F)C(F)F
ep-775045 FCC(CF)(OC(F)F)C(F)F
