ep-932383 FC(F)C(F)(F)OC(F)(OC(F)(F)F)C(F)F
ep-932384 FCC(F)(OC(F)(F)F)OC(F)(F)C(F)(F)F
ep-932385 FC(F)OC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932386 FC(F)C(F)OC(F)(OC(F)(F)F)C(F)(F)F
ep-932387 FC(OC(F)(OC(F)(F)F)C(F)F)C(F)(F)F
ep-932388 FC(F)(F)COC(F)(OC(F)(F)F)C(F)(F)F
ep-932389 FC(F)OC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932390 FC(F)C(F)(F)OC(OC(F)(F)F)C(F)(F)F
ep-932391 FC(F)C(OC(F)(F)F)OC(F)(F)C(F)(F)F
ep-932392 FC(OC(OC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932398 FC(F)=C(F)OC(F)(OC(F)(F)F)C(F)(F)F
ep-932399 FC(F)=C(F)OC(=C(F)F)C(F)(F)C(F)(F)F
ep-932400 FCC(OC(F)(F)C(F)(F)C(F)(F)F)=C(F)F
ep-932401 FC=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-932402 C=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932403 FC(F)=C(OC(F)(F)C(F)(F)C(F)F)C(F)F
ep-932404 FC=C(OC(F)(F)C(F)(F)C(F)F)C(F)(F)F
ep-932405 FCC(F)(F)C(F)(F)OC(=C(F)F)C(F)(F)F
ep-932406 FC(F)=C(OC(F)(F)C(F)C(F)(F)F)C(F)F
ep-932407 FC=C(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F
ep-932408 FC(F)=C(OC(F)(F)C(F)C(F)F)C(F)(F)F
ep-932409 FC(F)=C(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-932410 FC(F)=C(OC(F)C(F)(F)C(F)(F)F)C(F)F
ep-932411 FC=C(OC(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932412 FC(F)=C(OC(F)C(F)(F)C(F)F)C(F)(F)F
ep-932413 FC(F)=C(OC(F)C(F)C(F)(F)F)C(F)(F)F
ep-932414 FC(F)=C(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-932415 FCC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F
ep-932416 FC=C(F)OC(F)(F)C(F)(C(F)F)C(F)(F)F
ep-932417 C=C(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
ep-932418 FC(F)=C(F)OC(F)(F)C(F)(C(F)F)C(F)F
ep-932419 FC(F)=C(F)OC(F)(F)C(C(F)F)C(F)(F)F
