ep-937636 FC(F)(F)C1(C(F)(F)F)OC1(C(F)(F)F)C(F)(F)F
ep-937637 FC(F)(F)C(F)(OC1(F)C(F)(F)C1(F)F)C(F)(F)F
ep-937638 FC(F)(F)C1(F)OC(F)(C(F)(F)F)C(F)(F)C1(F)F
ep-937639 FC(F)(F)C(F)(F)C1(C(F)(F)F)OC1(F)C(F)(F)F
ep-937640 FC(F)(F)C(F)(F)C1(C(F)(F)F)OC(F)(F)C1(F)F
ep-937641 FC(F)(F)C1(F)OC(F)(C(F)(F)F)C1(F)C(F)(F)F
ep-937642 FC(F)(F)C(F)(F)C1(F)OC(F)(C(F)(F)F)C1(F)F
ep-937643 FC(F)(F)C(F)(F)OC1(F)C(F)(F)C1(F)C(F)(F)F
ep-937644 FC(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)C(F)(F)F
ep-937645 FC(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C1(F)F
ep-937646 FC(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F
ep-937647 FC(F)(F)C(F)(F)C1(F)OC1(C(F)(F)F)C(F)(F)F
ep-937648 FC(F)(F)C1(F)C(F)(F)OC1(C(F)(F)F)C(F)(F)F
ep-937649 FC(F)(F)C1(F)OC(F)(F)C(F)(C(F)(F)F)C1(F)F
ep-937650 FC(F)(F)C(F)(C(F)(F)F)C1(C(F)(F)F)OC1(F)F
ep-937651 FC(F)(F)OC1(C(F)(F)F)C(F)(F)C1(F)C(F)(F)F
ep-937652 FC(F)(F)C1(F)OC(F)(F)C1(C(F)(F)F)C(F)(F)F
ep-937653 FC(F)(F)C(F)(C(F)(F)F)C1(F)OC(F)(F)C1(F)F
ep-937654 FC(F)(F)OC1(F)C(F)(F)C1(C(F)(F)F)C(F)(F)F
ep-937655 FC(F)(F)OC(F)(C(F)(F)F)C1(F)C(F)(F)C1(F)F
ep-937656 FC(F)(F)OC1(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F
ep-937657 FC(F)(F)C1(F)OC1(F)C(F)(C(F)(F)F)C(F)(F)F
ep-937658 FC(F)(F)C1(C(F)(F)F)C(F)(F)OC(F)(F)C1(F)F
ep-937659 FC(F)(F)C(F)(F)OC(F)(F)C1(F)C(F)(F)C1(F)F
ep-937660 FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C1(F)OC1(F)F
ep-937661 FC(F)(F)OC(F)(F)C1(C(F)(F)F)C(F)(F)C1(F)F
ep-937662 FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)OC1(F)F
