ep-874728 FC(COC(F)(F)F)C(F)C(F)(F)F
ep-874729 FC(F)(F)OCCC(F)(F)C(F)(F)F
ep-874730 FC(F)OCC(F)(F)C(F)(F)C(F)F
ep-874731 FC(F)OCC(F)(F)C(F)C(F)(F)F
ep-874732 FC(F)OCC(F)C(F)(F)C(F)(F)F
ep-874733 FCOCC(F)(F)C(F)(F)C(F)(F)F
ep-874738 C=C(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-874739 FC=CC(F)(F)C(F)(F)OC(F)(F)F
ep-874740 FC=C(F)C(F)C(F)(F)OC(F)(F)F
ep-874741 FC(F)=CC(F)C(F)(F)OC(F)(F)F
ep-874742 FC(F)=C(F)CC(F)(F)OC(F)(F)F
ep-874743 FC=C(F)C(F)(F)C(F)(F)OC(F)F
ep-874744 FC(F)=CC(F)(F)C(F)(F)OC(F)F
ep-874745 FC(F)=C(F)C(F)C(F)(F)OC(F)F
ep-874746 FCOC(F)(F)C(F)(F)C(F)=C(F)F
ep-874747 FC=C(F)C(F)(F)C(F)OC(F)(F)F
ep-874748 FC(F)=CC(F)(F)C(F)OC(F)(F)F
ep-874749 FC(F)=C(F)C(F)C(F)OC(F)(F)F
ep-874750 FC(F)=C(F)C(F)(F)C(F)OC(F)F
ep-874751 FC(F)=C(F)C(F)(F)COC(F)(F)F
ep-874752 FC#CC(F)(F)C(F)(F)OC(F)(F)F
ep-874798 FC(F)(F)OC#CC(F)(F)C(F)(F)F
ep-874799 FC(OC(F)(F)F)=C(F)OC(F)(F)F
ep-874875 FCOC(F)=C(C(F)(F)F)C(F)(F)F
ep-874876 FC(OC(F)F)=C(C(F)F)C(F)(F)F
ep-874877 FCC(=C(F)OC(F)(F)F)C(F)(F)F
ep-874878 FC(OC(F)(F)F)=C(C(F)F)C(F)F
ep-874879 FC(F)OC=C(C(F)(F)F)C(F)(F)F
ep-874880 FC(F)C(=COC(F)(F)F)C(F)(F)F
ep-874885 FCOC(F)=C(F)C(F)(F)C(F)(F)F
ep-874886 FC(OC(F)F)=C(F)C(F)(F)C(F)F
ep-874887 FCC(F)(F)C(F)=C(F)OC(F)(F)F
ep-874888 FC(OC(F)F)=C(F)C(F)C(F)(F)F
ep-874889 FC(OC(F)(F)F)=C(F)C(F)C(F)F
ep-874890 FC(CC(F)(F)F)=C(F)OC(F)(F)F
ep-874891 FC(=CC(F)(F)C(F)(F)F)OC(F)F
ep-874892 FC(=CC(F)(F)C(F)F)OC(F)(F)F
ep-874893 FC(=CC(F)C(F)(F)F)OC(F)(F)F
ep-874894 FC(=COC(F)F)C(F)(F)C(F)(F)F
ep-874895 FC(=COC(F)(F)F)C(F)(F)C(F)F
ep-874896 FC(=COC(F)(F)F)C(F)C(F)(F)F
ep-874897 FC(F)(F)OC=CC(F)(F)C(F)(F)F
ep-874907 FC(F)=C(F)C(F)=C(F)OC(F)(F)F
ep-874926 FC(F)=C(F)OC(=C(F)F)C(F)(F)F
ep-874927 FCC(OC(F)(F)C(F)(F)F)=C(F)F
ep-874928 FC=C(OC(F)(F)C(F)(F)F)C(F)F
ep-874929 C=C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-874930 FC(F)=C(OC(F)(F)C(F)F)C(F)F
ep-874931 FC=C(OC(F)(F)C(F)F)C(F)(F)F
ep-874932 FCC(F)(F)OC(=C(F)F)C(F)(F)F
ep-874933 FC(F)=C(OC(F)C(F)(F)F)C(F)F
ep-874934 FC=C(OC(F)C(F)(F)F)C(F)(F)F
ep-874935 FC(F)=C(OC(F)C(F)F)C(F)(F)F
ep-874936 FC(F)=C(OCC(F)(F)F)C(F)(F)F
ep-874937 FCC(F)=C(F)OC(F)(F)C(F)(F)F
ep-874938 FC(=CC(F)F)OC(F)(F)C(F)(F)F
ep-874939 FC(OC(F)(F)C(F)F)=C(F)C(F)F
ep-874940 FC(=CC(F)(F)F)OC(F)(F)C(F)F
ep-874941 FCC(F)(F)OC(F)=C(F)C(F)(F)F
ep-874942 FC(=COC(F)(F)C(F)(F)F)C(F)F
ep-874943 FC(F)(F)C=COC(F)(F)C(F)(F)F
ep-874944 FC(=COC(F)(F)C(F)F)C(F)(F)F
ep-874945 FC(OC(F)C(F)(F)F)=C(F)C(F)F
ep-874946 FC(=CC(F)(F)F)OC(F)C(F)(F)F
ep-874947 FC(OC(F)C(F)F)=C(F)C(F)(F)F
ep-874948 FC(=COC(F)C(F)(F)F)C(F)(F)F
ep-874949 FC(OCC(F)(F)F)=C(F)C(F)(F)F
ep-874950 FC(F)=C(F)OC(F)=C(F)C(F)(F)F
ep-874951 FCC1(F)OC1(C(F)(F)F)C(F)(F)F
